iter	Passed	Remaining
0	79	39909
1	147	36833
2	210	34878
3	271	33678
4	337	33379
5	380	31294
6	421	29651
7	471	29004
8	536	29253
9	600	29411
10	657	29245
11	723	29418
12	790	29608
13	873	30327
14	918	29682
15	974	29491
16	1060	30131
17	1124	30099
18	1152	29165
19	1222	29335
20	1343	30650
21	1386	30133
22	1453	30151
23	1509	29935
24	1583	30078
25	1673	30505
26	1709	29942
27	1770	29840
28	1862	30242
29	1919	30079
30	1989	30092
31	2051	30001
32	2097	29677
33	2147	29432
34	2207	29328
35	2288	29498
36	2334	29215
37	2415	29366
38	2463	29116
39	2557	29406
40	2605	29170
41	2667	29092
42	2757	29311
43	2834	29378
44	2930	29632
45	2972	29338
46	3016	29072
47	3089	29094
48	3147	28971
49	3208	28876
50	3245	28572
51	3310	28518
52	3362	28362
53	3425	28288
54	3471	28087
55	3533	28013
56	3574	27781
57	3608	27499
58	3661	27367
59	3701	27147
60	3727	26824
61	3798	26835
62	3871	26852
63	3928	26761
64	3990	26706
65	4033	26522
66	4086	26410
67	4134	26267
68	4175	26080
69	4221	25929
70	4252	25695
71	4285	25473
72	4326	25307
73	4364	25127
74	4390	24879
75	4430	24718
76	4458	24491
77	4492	24307
78	4537	24183
79	4590	24099
80	4640	24004
81	4682	23869
82	4718	23708
83	4742	23488
84	4772	23302
85	4808	23148
86	4843	22992
87	4884	22866
88	4915	22700
89	4947	22539
90	4976	22368
91	5009	22214
92	5036	22041
93	5071	21906
94	5103	21757
95	5129	21587
96	5159	21434
97	5189	21285
98	5221	21149
99	5247	20991
100	5277	20850
101	5309	20717
102	5338	20578
103	5366	20435
104	5392	20286
105	5420	20149
106	5454	20032
107	5492	19936
108	5524	19818
109	5563	19724
110	5592	19598
111	5616	19457
112	5647	19341
113	5675	19215
114	5703	19095
115	5734	18984
116	5758	18850
117	5783	18721
118	5805	18588
119	5827	18455
120	5855	18340
121	5878	18214
122	5902	18091
123	5929	17979
124	5955	17866
125	5977	17742
126	6001	17627
127	6024	17508
128	6050	17401
129	6075	17292
130	6098	17178
131	6128	17084
132	6175	17039
133	6198	16929
134	6222	16822
135	6246	16717
136	6323	16754
137	6356	16673
138	6405	16634
139	6462	16618
140	6510	16576
141	6568	16559
142	6599	16475
143	6628	16386
144	6656	16296
145	6691	16223
146	6722	16142
147	6751	16057
148	6779	15971
149	6808	15887
150	6855	15844
151	6897	15791
152	6932	15721
153	6963	15646
154	7003	15588
155	7031	15505
156	7065	15435
157	7101	15372
158	7133	15298
159	7174	15245
160	7205	15171
161	7235	15096
162	7259	15008
163	7287	14929
164	7316	14854
165	7377	14843
166	7435	14827
167	7482	14786
168	7541	14770
169	7595	14743
170	7711	14837
171	7759	14796
172	7881	14898
173	7933	14864
174	7958	14780
175	7989	14707
176	8017	14631
177	8049	14560
178	8088	14505
179	8132	14458
180	8165	14391
181	8203	14333
182	8235	14266
183	8260	14187
184	8290	14116
185	8323	14051
186	8347	13972
187	8372	13894
188	8396	13815
189	8425	13747
190	8457	13682
191	8483	13608
192	8508	13533
193	8542	13474
194	8577	13415
195	8605	13347
196	8633	13278
197	8662	13212
198	8706	13168
199	8743	13114
200	8816	13114
201	8880	13100
202	8956	13104
203	9006	13068
204	9052	13027
205	9094	12978
206	9145	12944
207	9177	12883
208	9207	12819
209	9237	12756
210	9267	12692
211	9296	12629
212	9321	12559
213	9346	12491
214	9388	12445
215	9627	12657
216	9675	12618
217	9709	12560
218	9733	12488
219	9763	12426
220	9792	12362
221	9832	12312
222	9868	12258
223	9910	12211
224	9938	12147
225	9965	12082
226	9994	12020
227	10022	11956
228	10050	11893
229	10078	11830
230	10104	11766
231	10130	11701
232	10161	11644
233	10189	11583
234	10218	11522
235	10246	11461
236	10274	11401
237	10304	11343
238	10330	11281
